ClimNo,StasName,Latitude,Longitude,Height,CompNo,SynopNo,Description,Current Order
0296709AX,FICKSBURG,-28.8272,27.9041,1 628,9 286,68 449,Bethlehem,ELEC_TEMP
0331585 9,BETHLEHEM WO,-28.2496,28.3343,1 689,4 137,68 461,Bethlehem,WEATHER_OF
0365398 8,KROONSTAD,-27.6665,27.3136,1 440,9 284,68 355,Bethlehem,ELEC_TEMP
0403887 8,FRANKFORT AIRFIELD,-27.2881,28.5114,1 575,10 369,68 362,Bethlehem,ELEC_TEMP
0405326A9,VREDE,-27.4228,29.1695,1 674,5 287,68 375,Bethlehem,ELEC_TEMP
0362189 7,BLOEMHOF,-27.6511,25.6219,1 225,9 197,68 343,Bloemfontein,ELEC_TEMP
0364300 1,WELKOM,-27.9947,26.666,1 344,9 283,68 345,Bloemfontein,ELEC_TEMP
0291570 1,FAURESMITH,-29.7535,25.323,1 387,10 217,68 541,Bloemfontein,ELEC_TEMP
0175678A0,ALIWAL-NORTH PLAATKOP,-30.8029,26.8834,1 350,9 572,68 546,Bloemfontein,ELEC_TEMP
0176413 3,LADY GREY - IDEAL,-30.8864,27.2344,1 794,2 233,68 553,Bloemfontein,ELEC_TEMP
0232654 4,WEPENER,-29.9157,26.847,1 414,9 415,68 549,Bloemfontein,ELEC_TEMP
0232707 1,KNELLPOORTDAM,-29.7861,26.9031,1 468,2 818,68 542,Bloemfontein,ELEC_TEMP
0261307A4,BLOEMFONTEIN - STAD,-29.1204,26.1874,1 406,9 271,68 443,Bloemfontein,ELEC_TEMP
0261516B0,BLOEMFONTEIN WO,-29.1039,26.2981,1 354,3 153,68 442,Bloemfontein,WEATHER_OF
0261516C5,BLOEMFONTEIN AWOS,-29.1007,26.3006,1 348,10 282,68 441,Bloemfontein,ELEC_TEMP
0399894 4,BOTHAVILLE - BALKFONTEIN,-27.4058,26.5044,1 267,5 146,68 348,Bloemfontein,ELEC_TEMP
0190868 1,BRANDVLEI,-30.4647,20.4783,923,2 361,68 523,Calvinia,ELEC_TEMP
0083572 8,LAMBERTSBAAI NORTIER,-32.0351,18.3326,94,9 203,68 613,Calvinia,ELEC_TEMP
0084058 X,REDELINGSHUYS-AWS,-32.4814,18.537,16,9 998,68 710,Calvinia,ELEC_TEMP
0084671 0,CLANWILLIAM,-32.1768,18.888,100,9 333,68 711,Calvinia,ELEC_TEMP
0088293A6,SUTHERLAND,-32.3996,20.6629,1 458,1 133,68 722,Calvinia,ELEC_MANUAL
0106880A2,VREDENDAL,-31.673,18.496,42,9 266,68 614,Calvinia,ELEC_MANUAL
0113025A2,FRASERBURG,-31.916,21.5078,1 264,1 464,68 624,Calvinia,ELEC_MANUAL
0133172B4,NIEUWOUDTVILLE,-31.3761,19.1081,714,10 119,68 619,Calvinia,ELEC_MANUAL
0134479A3,CALVINIA WO,-31.4819,19.7617,975,1 703,68 618,Calvinia,WEATHER_OF
0040192 4,GEELBEK,-33.1964,18.1241,7,533,68 811,Cape Town,ELEC_TEMP
0041347 X,LANGGEWENS,-33.2763,18.7051,179,544,68 716,Cape Town,ELEC_TEMP
0041388 0,MALMESBURY,-33.4725,18.7183,101,9 256,68 715,Cape Town,ELEC_TEMP
0041841 X,PORTERVILLE,-33.0128,18.9771,122,9 247,68 717,Cape Town,ELEC_TEMP
0042563 X,CERES AWS,-33.3848,19.3212,461,10 230,68 815,Cape Town,ELEC_TEMP
0060620 9,CAPE COLUMBINE,-32.8278,17.8558,62,828,68 712,Cape Town,ELEC_MANUAL
0061268 6,LANGEBAANWEG - AAWS,-32.9788,18.1641,32,10 231,68 695,Cape Town,ELEC_TEMP
